21:34:08	night	10	1.00	0.90
21:34:13	night	1	0.00	1.00
21:36:04	night	10	1.00	0.90
21:37:24	night	10	1.00	1.00
21:38:22	night	10	1.00	1.00
21:39:03	night	10	1.00	1.00
21:39:46	night	10	1.00	1.00
21:47:27	night	1	0.00	1.00
21:47:52	night	10	1.00	1.00
21:49:25	night	10	1.00	1.00
21:49:26	night	1	1.00	1.00
21:50:03	night	10	1.00	1.00
21:50:04	night	1	0.00	1.00
21:50:40	night	10	1.00	1.00
21:50:41	night	1	0.00	1.00
21:51:36	night	1	0.00	1.00
21:51:45	night	1	0.00	1.00
21:51:54	night	1	0.00	1.00
21:53:00	night	1	1.00	1.00
21:53:12	night	1	1.00	1.00
21:53:23	night	1	1.00	1.00
21:53:34	night	1	1.00	1.00
23:03:47	night	10	1.00	0.90
23:04:40	night	10	1.00	1.00
23:04:55	night	10	1.00	1.00
23:05:51	night	10	1.00	1.00
23:06:31	night	10	1.00	1.00
23:07:10	night	10	1.00	1.00
23:11:32	night	1	0.00	1.00
23:11:39	night	1	0.00	1.00
23:11:48	night	1	1.00	1.00
23:11:57	night	1	1.00	1.00
23:14:44	night	1	1.00	1.00
23:14:53	night	1	1.00	1.00
23:15:02	night	1	1.00	1.00
23:15:11	night	1	0.00	1.00
23:19:41	night	1	1.00	1.00
23:19:48	night	1	1.00	1.00
23:19:55	night	1	1.00	1.00
23:20:03	night	1	1.00	1.00
23:20:10	night	1	1.00	1.00
23:21:11	night	10	1.00	1.00
23:21:50	night	10	1.00	1.00
23:22:29	night	10	1.00	1.00
